feature,train_max_abs_z,val_max_abs_z,train_mean_abs_z,val_mean_abs_z,val_to_train_max_ratio
amihud,185.446482368338,43994708989721.266,0.027122113498081437,936994163.4925373,237236686443.7889
vol_norm,36.09684330502219,36.09684330132389,0.6073883207886428,0.6321747196110603,0.9999999998975172
gap,53.82011854106429,30.872994006552968,0.5596054380169517,0.43255818553493924,0.5736329618634445
dist_52w_low,18.996092073318277,19.75092278431798,0.6440792286884649,0.7981049365331108,1.039736105093894
ret_1d,27.68229724037877,19.436875217193087,0.6706960387409805,0.5749408374532876,0.7021409765386377
hl_spread,28.023848796491976,19.415375144742455,0.6822855113729901,0.6494051696433407,0.6928161540456277
ret_2d,22.03382047558546,17.7223699529293,0.6831558026038984,0.5850019674524852,0.8043257851068424
intraday_ret,31.856498685267265,15.231315243063102,0.7025769945256628,0.644015362777172,0.47812270248351807
ret_3d,18.44435892692399,14.548392656183653,0.6925319636244682,0.5996952821326607,0.7887719336748527
realized_vol_5d,20.572707665914486,14.122647058462798,0.6712934501921031,0.6162392181519727,0.6864748815665602
slope_20d,14.993443506285006,12.60859414746103,0.7180917858142885,0.6453621688943546,0.8409405179120375
macd_hist,10.67158454208071,11.913580788801545,0.7221906150388558,0.652116115764956,1.116383489426731
ret_5d,14.519457390829617,11.734487632484926,0.7049597955612669,0.611778822111902,0.808190507166992
bb_width,14.144742458267942,11.659110272807695,0.6892134368460237,0.6491742091484973,0.8242716548007447
macd_line,14.779122667058848,11.213070525012899,0.7099838311970965,0.629992708102172,0.7587101601101753
hl_range,12.448575685974715,11.207636951411317,0.7436936633326469,0.7873816967312661,0.9003148017999832
vol_momentum,11.1427103016257,11.142710301302849,0.7268189677255709,0.7752288159563478,0.999999999970936
macd_signal,14.414272515170728,10.741591046354017,0.7046427002973608,0.6235349910984109,0.7452052148346694
ret_10d,11.14720041049441,10.161046398168944,0.7148567526312147,0.6486339689400632,0.9115334814113529
price_to_ema20,16.311342197138103,9.954760067273915,0.7143834832380703,0.6319626803954128,0.6102968073969972
atr_pct,14.514377349682718,9.247998129808511,0.7347020732440639,0.6473002305826173,0.6371612027855975
price_to_sma20,15.646989486202003,9.030931474931267,0.7153658668117205,0.6381618012839771,0.5771673511313115
price_to_sma200,13.760641778970605,8.69169014994353,0.7090934525086593,0.7047017721540114,0.6316340683488891
ema12_to_ema26,10.361029337915168,8.375078136267232,0.7180112823948822,0.6396220100259826,0.8083249128171704
ret_20d,9.495182110315186,8.098563188734651,0.7203395193458234,0.6345196147440425,0.8529128872563533
sma50_to_sma200,8.936550186945556,7.905725381682799,0.7165173178408459,0.6703345391999632,0.8846507003598029
realized_vol_20d,11.152536709141115,7.834477040815251,0.706169823766926,0.6243672047421375,0.7024838604111532
mom_126d,8.52715350812867,7.818617392511364,0.7132089717054314,0.6373773018751612,0.9169082490490176
mom_252d,10.114833081468305,7.5704444042353565,0.7149505929891059,0.8321037979384662,0.7484497611833705
sma20_to_sma50,10.20215252663085,7.534266329058558,0.7163870869697948,0.6302220758311087,0.7384977150058282
price_to_sma50,14.409747833820852,6.83732948750691,0.7173207217788338,0.6410487329549194,0.4744933475836868
mom_60d,11.06526829443001,5.741272513552587,0.716640452003462,0.6196016243522207,0.518855246957011
vix_change_1d,6.257299447696851,4.594340142424266,0.7100405920332719,0.6666012534507513,0.7342368989731807
vix_close_norm,3.5562411924514143,4.35979929414036,0.8072983127390495,0.8316408829819283,1.2259571435687142
realized_vol_60d,6.995101484346497,4.298071962294678,0.7384337953185177,0.6286871543198653,0.6144402582167258
dist_52w_high,7.59394728532824,4.018417172985497,0.7290599252497247,0.5903541925778937,0.5291605303540472
vix_mom_5d,4.378894896483347,3.7428877424232088,0.7841264159377703,0.7978186919302824,0.8547562412215546
bb_pct,3.6411824093147467,3.5007336982589634,0.8414659560758218,0.8402452462368367,0.9614277190020875
obv_norm,3.5045683084278214,3.4908425129942846,0.8460176818951691,0.8466230667884957,0.9960834561559194
vpt,3.47575463297608,3.4750033783543186,0.8248678167090752,0.8325998615201732,0.9997838585567481
rsi_14,3.327634021510093,3.327634021510093,0.8112721258328526,0.8251102711162863,0.9999999999996995
vol_regime,3.4648612885952526,3.2666626932161305,0.8126169023343861,0.8777225742368047,0.9427975382355291
spy_ret_1d,4.484672888794112,2.5970446040956605,0.7199200968842309,0.568376551274241,0.5790934296644773
spy_ret_5d,4.4227649288797934,2.220433483778276,0.7545716178080426,0.5820730020113372,0.5020464617684688
vix_regime,1.9704735076525197,1.9704735076525197,0.8071136607806776,0.5232248028984543,0.9999999999994925
spy_ret_20d,3.782889330816808,1.9600869239744119,0.7833031526212115,0.5913121557000642,0.518145457760634
stoch_k,1.9482149126371815,1.9482149126371786,0.8705568482101492,0.8694492969705288,0.9999999999994852
spy_vol_20d,3.237793677168939,1.1374884913362113,0.7361862850253266,0.5818954033912326,0.35131592829919195
